item_id,item_material,item_num,item_length,item_width,item_order
0,YSH-0218S,1,1998,562,91
1,HT9-0218S,1,622,176,396
2,XXB-0218S,1,288,474.8,376
3,YSH-0218S,1,298,294.5,179
4,YSH-0225S,1,1237.5,558,194
5,YSH-0218S,1,646,521,138
6,YSH-0215S,1,1080,685,133
7,YSH-0218S,1,903.5,613,231
8,YSH-0215S,1,623,52.5,25
9,JH-0218S,1,1033,326,182
10,YSH-0215S,1,288,238,137
11,YSH-0218SD,1,2208,997,266
12,YSH-0218SD,1,1988,58,179
14,YDH-0218S,1,482,167,92
15,YSH-0218S,1,388,290,401
16,HT9-0218S,1,2377,598,106
17,HT9-0215S,1,338,118,396
18,YSH-0218S,1,1514,375,401
19,YSH-0215S,1,815,439,314
20,YSH-0215S,1,488,118,394
21,YSH-0218S,1,771,555,141
22,HT9-0225S,1,1188,580,290
23,YSH-0218S,1,304,48,25
24,YSH-0215S,1,492.5,771,25
25,YSH-0218SD,1,762,535,104
26,XYHX-0218S,1,705,297,25
27,YSH-0218S,1,1058,38,303
28,YSH-0218S,1,748,310,352
29,YSH-0218S,1,272,274.5,182
30,YDH-0218S,1,961,1156,93
31,NSLH-0218S,1,1034,277.5,377
32,YSH-0218SD,1,1988,58,179
33,HT9-0218S,1,836,58,74
35,PGBL-0418S,1,642.5,478,380
36,YSH-0218S,1,736.5,426.3,136
37,YSH-0218S,1,844,98,136
39,HT9-0215S,1,1549.5,502,132
40,NSLH-0215S,1,419.5,749,374
41,HT9-0218S,1,494.5,427.5,74
42,HT9-0215S,1,901.5,980,397
44,HT9-0215S,1,438,118,73
45,HT9-0218S,1,447,375,74
46,YSH-0218S,1,1558,348,204
47,HT9-0218S,1,871,510,124
48,YSH-0218SD,1,873,78,104
49,HT9-0218S,1,476,560,316
51,YSH-0218SD,1,729.5,445,137
52,YSH-0218S,1,861,307.5,137
53,YDH-0215S,1,1901,482,92
54,NSLH-0218S,1,1303,58,375
55,YSH-0218S,1,546,580,210
56,YSH-0215S,1,502,339,83
57,YSH-0218SD,1,355,777,393
58,NSLH-0218S,1,462,429,267
59,YSH-0218S,1,608,558,194
60,YSH-0218S,1,1252,579,13
61,YSH-0215S,1,178,714,194
62,HT9-0218S,1,379.5,288,132
63,HT9-0215S,1,2241,812.5,132
64,HT9-0218S,1,424,540,147
65,HT9-0218S,1,708.5,378,380
66,PGBL-0418S,1,642.5,476,380
67,NSLH-0218S,1,409,579,373
68,NSLH-0218S,1,773,38,375
69,NSLH-0218S,1,447,304,373
70,YSH-0215S,1,604,389,221
71,HT9-0218S,1,871,527,124
72,PGBL-0418S,1,344,357.5,263
73,YSH-0218S,1,1198,830,105
74,YSH-0218S,1,714,557,194
75,YSH-0215S,1,485,52.5,142
76,YSH-0215S,1,659.5,511,210
77,YSH-0218SD,1,883,58,179
78,YSH-0218S,1,582.5,486,394
79,HT9-0218S,1,739,388,187
80,XXB-0215S,1,672,389,201
81,NSLH-0218S,1,360,579,374
82,YSH-0218S,1,892,575,42
83,YSH-0218S,1,814,328,179
84,YSH-0218S,1,458,83,352
85,YSH-0215S,1,485,92.5,142
86,YSH-0218S,1,521,342,326
87,YSH-0218SD,1,588,68,266
89,HT9-0218S,1,790,374.9,397
90,YSH-0218S,1,661,424,25
91,HT9-0218S,1,2418,58,130
92,YSH-0215S,1,388,158,221
93,HT9-0215S,1,824,439,316
94,HT9-0215S,1,438,158,316
95,YSH-0225S,1,495.5,308,182
96,NSLH-0218S,1,980,38,378
97,NSLH-0215S,1,980,1155,378
98,YSH-0218S,1,1934,550,91
99,HT9-0218S,1,585,78,132
100,YSH-0218SD,1,1396,58,401
101,YSH-0218SD,1,790,58,142
102,HT9-0215S,1,338,118,396
104,YSH-0215S,1,538.5,239,135
105,HT9-0218S,1,160,582,132
106,QKQ-0218S,1,1741.5,382.5,128
107,HT9-0218S,1,483,375,73
108,YSH-0218S,1,552,147,144
109,YSH-0215S,1,624,399,25
110,MNH-0225S,1,772,596.5,326
111,YSH-0218S,1,388,290,401
112,YSH-0218S,1,944,425,139
113,NSLH-0218S,1,462,429,267
114,YSH-0218S,1,2378,38,400
115,YSH-0218SD,1,2238,780,393
116,YSH-0218S,1,498,944,352
117,YSH-0215S,1,572,98,105
118,HT9-0218S,1,1928,580,73
119,HT9-0218S,1,2398,380,380
120,NSLH-0218S,1,409,560,373
121,YSH-0215S,1,1328,118,352
122,HT9-0218S,1,395,48,316
123,HT9-0218S,1,1477,58,316
124,HT9-0215S,1,338,158,391
125,YSH-0218S,1,748,310,352
126,GDMY-0218S,1,133,526.5,36
127,YSH-0218S,1,714,557,194
128,YSH-0225S,1,1198,448,355
129,NSLH-0218S,1,773,558,375
130,YSH-0218SD,1,813,58,262
131,HT9-0218S,1,952,58,130
132,YSH-0218S,1,568,538,93
133,YSH-0215S,1,438,118,92
134,YSH-0218SD,1,872,577,392
135,YSH-0218S,1,894,358,137
136,YSH-0215S,1,404,339,394
137,YSH-0215S,1,387.5,736,182
138,HT9-0215S,1,195,503.5,72
139,YSH-0218S,1,552,328,204
140,YSH-0218S,1,981,345,25
141,HT9-0218S,1,360.5,183.5,74
142,HT9-0218S,1,483,375,74
143,YSH-0218S,1,845,348,133
144,YSH-0215S,1,607,52.5,352
145,YSH-0218S,1,2088,561,25
146,YSH-0218SD,1,1252,58,13
147,NSLH-0218S,1,1462,58,267
148,YSH-0215S,1,326,439,91
149,YSH-0215S,1,850,172.5,42
150,HT9-0218S,1,195,327,72
151,YSH-0218S,1,715,517,13
152,YSH-0218S,1,643,427.5,400
153,YSH-0218S,1,381,577,142
154,XXB-0218S,1,2146,423.5,201
155,YSH-0215S,1,538.5,239,135
156,MNH-0218S,1,688,329.5,137
157,YSH-0218S,1,1878,563,138
158,YSH-0218S,1,465,364,91
159,HT9-0218S,1,498,580,73
160,YSH-0218S,1,846,558,210
161,HT9-0218S,1,741,290,391
162,YSH-0218S,1,668.5,131.5,352
163,HT9-0218S,1,980,58,397
164,HT9-0218S,1,552,38,131
165,YSH-0218S,1,701,425,139
166,GHSS-0218S,1,2398,198,126
167,YSH-0218SD,1,558,58,180
168,NJHL-0218S,1,298,248,13
169,YSH-0218S,1,404,48,326
170,YSH-0218S,1,1398,38,141
171,HT9-0218S,1,621,176,396
172,YSH-0218S,1,486.5,580,36
173,XXB-0218SD,1,1943,58,42
174,YSH-0218S,1,598,558,180
175,HT9-0215S,1,2301,500,224
176,HT9-0215S,1,238,158,391
