item_id,item_material,item_num,item_length,item_width,item_order
0,QKQ-0218S,1,834,369.3,409
1,QKQ-0218S,1,835.5,242,1
2,QKQ-0218S,1,915,529,66
3,QKQ-0218SD,1,545,108,316
4,XMJQ-0218S,1,823,277.5,322
5,QKQ-0218S,1,788,178,1
6,NMYH-0215S,1,459.5,721,293
7,QKQ-0218S,1,759,340,237
8,QKQ-0218S,1,2098,530,122
9,QKQ-0218S,1,769,184.5,127
10,QKQ-0218S,1,218,226,216
11,XMJQ-0215S,1,461,52.5,322
12,QKQ-0215S,1,473,339,354
13,QKQ-0215S,1,561.5,339,313
14,NMYH-0218S,1,401,259.5,310
15,QKQ-0218S,1,2324,526,66
17,QKQ-0218SD,1,2078,58,120
18,QKQ-0215S,1,714,132.5,320
19,QKQ-0215S,1,725,439,46
20,QKQ-0218S,1,851,374,240
21,QKQ-0218S,1,425,377,127
22,QKQ-0215S,1,515,172.5,18
23,FMB-0215S,1,288,118,410
24,QKQ-0218S,1,759,340,237
25,QKQ-0218S,1,850,347.5,311
26,QKQ-0218S,1,231,279,409
27,NMYH-0218S,1,973,388,354
28,QKQ-0218S,1,1108,58,125
29,NMYH-0218S,1,498,559.5,292
30,QKQ-0218S,1,2140,398,116
31,YMH-0218SD,1,2434.5,445,109
32,NMYH-0218S,1,578,280,354
33,QKQ-0218S,1,767,579,319
34,ZZL-0218S,1,411,114,330
35,NMYH-0218S,1,451,310,93
36,NMYH-0218S,1,313,58,95
37,XMJQ-0218S,1,261.5,297,18
38,XMJQ-0218S,1,562,508,322
39,QKQ-0218S,1,1147,58,120
40,QKQ-0218SD,1,1147,527,120
41,QKQ-0218S,1,711,552,304
42,QKQ-0218S,1,268,280,409
43,QKQ-0218SD,1,395,447,100
44,QKQ-0218S,1,1301,58,121
45,QKQ-0218S,1,754,433,1
46,QKQ-0215S,1,801,745.5,409
47,QKQ-0218S,1,834,369.3,409
48,QKQ-0218SD,1,1336,58,127
49,QKQ-0215S,1,563,172.5,215
