item_id,item_material,item_num,item_length,item_width,item_,order
0,YW10-0218S,1,2001,58,order,205
1,XXB-0218S,1,1339,352.5,order,219
2,NHQL-0218S,1,2147,517,order,517
3,NHQL-0215S,1,1179.5,702,order,517
4,YW10-0218S,1,1998,558,order,450
5,HT9-0218S,1,170,568,order,237
6,HT9-0218S,1,769,358,order,466
7,XXB-0215S,1,343,92.5,order,312
8,HT9-0218S,1,2348,630,order,303
9,NHQL-0218S,1,2348,558,order,565
10,HT9-0218S,1,1568,368,order,174
11,JH-0218S,1,878,478,order,66
12,HT9-0218S,1,925,38,order,319
13,YW10-0218S,1,2161,58,order,86
14,NHQL-0225S,1,461,373,order,287
15,NHQL-0215S,1,245,439,order,485
16,NHQL-0218S,1,942,392,order,287
17,GDMY-0215S,1,1320.5,400,order,58
18,HT9-0218S,1,508,289,order,475
19,YW10-0218S,1,2078,98,order,203
20,NHJB-0218S,1,1625,377,order,268
21,QKQ-0215S,1,753,172.5,order,518
22,NHQL-0218S,1,344,530,order,219
23,HT9-0215S,1,338,198,order,482
24,XXB-0218S,1,735,558,order,312
25,YW10-0218S,1,2398,299,order,86
26,JH-0218S,1,418,458,order,66
27,YW10-0218S,1,2182,579,order,84
28,HT9-0218S,1,709,369,order,237
29,YW10-0215S,1,261.5,907.5,order,206
30,NJBB-0218S,1,1517.5,258,order,312
31,NJYH-0215S,1,503,172.5,order,565
32,QKQ-0215S,1,363,92.5,order,204
33,HT9-0218S,1,470,264,order,237
34,QKQ-0218SD,1,531,387.5,order,200
35,XXB-0218S,1,507,415,order,312
36,HT9-0218S,1,1198,370,order,237
37,NJYH-0218S,1,1964,395,order,91
38,NHQL-0218S,1,448,550,order,574
39,YW8-0215S,1,713,132.5,order,4
40,HT9-0215S,1,488,158,order,497
41,HT9-0218S,1,2198,198,order,237
42,XXB-0218S,1,754,387.5,order,174
43,HT9-0218S,1,460,377,order,323
44,NJYH-0218S,1,593,225,order,565
45,GDMY-0215S,1,438,158,order,58
46,YW10-0215S,1,480,771,order,91
47,NHJB-0218S,1,148,548,order,561
48,NHJB-0218S,1,2353,38,order,561
49,NHJB-0218S,1,1159,548,order,561
50,HT9-0218S,1,2048,118,order,469
51,HT9-0218S,1,717,644,order,155
52,YW10-0218S,1,662.5,558,order,204
53,NJBB-0218S,1,270,258,order,312
54,HT9-0215S,1,338,198,order,482
55,CGYM-0215S,1,294.5,666,order,316
56,HT9-0218S,1,882,447,order,468
57,HT9-0218S,1,2114,441.5,order,236
58,HT9-0215S,1,338,118,order,466
59,HT9-0218S,1,1128,348,order,470
60,HT9-0218S,1,712,327,order,496
61,HT9-0218S,1,2367,218,order,235
62,NHQL-0218S,1,701,260,order,517
63,YW10-0218S,1,540,427,order,83
64,NHQL-0215S,1,334.5,544,order,220
65,YW10-0218S,1,880,328,order,382
66,HT9-0218S,1,1755,337,order,154
67,XXB-0215S,1,338,158,order,323
68,NHQL-0218S,1,880,328,order,563
69,YW10-0215S,1,1981,1063,order,202
70,HT9-0218S,1,395,560,order,236
71,HT9-0218S,1,1462,138,order,233
72,GDMY-0218S,1,998,866,order,59
73,QKQ-0218S,1,2388,98,order,303
74,HT9-0218S,1,840,555,order,237
75,NBSY-0218S,1,673,58,order,61
76,LMW-0215S,1,898,153,order,159
77,XXB-0218S,1,2273,576,order,485
78,SL-0218S,1,762,237,order,563
79,NHQL-0218S,1,530,578,order,346
80,YW10-0218S,1,748.5,540,order,201
81,NHQL-0218S,1,282,214.5,order,519
82,CGYM-0218S,1,1024,495,order,316
83,YSH-0215S,1,288,158,order,158
85,QKQ-0218S,1,443,226.5,order,250
86,NJBB-0218S,1,1350.5,430,order,561
87,HT9-0218S,1,177,197.5,order,472
88,HT9-0218S,1,448,58,order,469
89,NHQL-0218S,1,761,555,order,567
90,HT9-0218S,1,478,278,order,232
92,YW10-0218S,1,668,299,order,86
93,NHJB-0218S,1,1165,571,order,269
94,YW10-0215S,1,1121,930,order,217
95,YW10-0218S,1,711,558,order,84
96,YGF-0218S,1,1162,327,order,418
97,HT9-0218S,1,881,428,order,468
98,HT9-0218S,1,1462,58,order,233
99,NHQL-0218S,1,2101,329,order,520
100,NHQL-0218S,1,674,317,order,219
101,NHQL-0218S,1,1998,530,order,219
102,NHQL-0218S,1,1998,530,order,219
103,HT9-0218S,1,255.5,419.8,order,237
104,HT9-0218S,1,643,277,order,232
105,HT9-0218S,1,517,367,order,237
106,HT9-0218S,1,935.5,369,order,231
107,PSXH-0418S,1,793,446.5,order,424
108,HT9-0218S,1,898,367,order,174
109,NHQL-0218S,1,393,309,order,520
111,HT9-0218S,1,278,38,order,235
112,NHQL-0215S,1,538.5,660,order,517
113,NHQL-0218S,1,2398,328,order,566
114,HT9-0218S,1,1797,347,order,497
115,NHQL-0218S,1,2388,558,order,567
116,YW10-0215S,1,1480,517,order,204
117,NHQL-0215S,1,1235.5,282,order,519
118,NHQL-0215S,1,338,78,order,517
119,NHJB-0218S,1,1625,58,order,268
120,HT9-0218S,1,498.5,560,order,156
121,HT9-0215S,1,190,840,order,237
122,HT9-0218S,1,370,308,order,496
123,XXB-0215S,1,388,158,order,83
124,YW10-0218S,1,938,58,order,204
125,NHQL-0218S,1,380,747,order,121
126,HT9-0215S,1,388,118,order,474
127,YW10-0218S,1,2001,579,order,84
128,NHQL-0218S,1,942,58,order,287
129,LMW-0218S,1,1458,369,order,158
130,GDMY-0218SD,1,847,58,order,58
131,HT9-0218S,1,860,58,order,482
132,NHJB-0218S,1,1625,377,order,268
133,HT9-0218S,1,2065,377,order,232
134,YW10-0218S,1,394,557,order,450
135,GHSS-0225S,1,698,788,order,159
136,NHQL-0215S,1,245,439,order,485
137,PKQL-0418S,1,266.5,393.5,order,105
138,QKQ-0218SD,1,844,395,order,519
139,HT9-0218S,1,2098,558,order,474
140,YW10-0218S,1,723,428,order,83
141,YW10-0218S,1,724,58,order,424
142,XXB-0218S,1,394,395,order,312
143,ZYF-0215S,1,355,439,order,418
144,NHQL-0218S,1,942,58,order,287
145,MNH-0218S,1,241,416,order,58
146,HT9-0215S,1,568,92.5,order,237
147,HT9-0218S,1,1798,38,order,191
148,YW10-0218S,1,777,327,order,205
149,NBSY-0218SD,1,950,58,order,61
150,HT9-0218S,1,484,365.3,order,233
151,HT9-0218S,1,1884,98,order,475
152,NHQL-0218S,1,116,537,order,517
153,HT9-0218S,1,399,58,order,474
155,YW10-0218S,1,418,558,order,450
156,HT9-0218S,1,361,327,order,174
157,HT9-0218S,1,468,575,order,237
158,NHQL-0218S,1,956,58,order,565
159,HT9-0218S,1,301,358,order,237
160,JH-0218S,1,414.5,535,order,66
161,NHJB-0215S,1,491,1165,order,269
162,YW10-0218S,1,649.5,298,order,86
163,QKQ-0218S,1,414,151.5,order,574
164,HT9-0218S,1,2118,58,order,469
165,HT9-0218S,1,1642,579,order,236
166,HT9-0218S,1,710,508,order,233
167,NBSY-0215S,1,238,118,order,60
168,HT9-0215S,1,1962,734,order,497
169,NHJB-0218S,1,840,548,order,561
170,YW10-0218S,1,2393,38,order,200
171,QKQ-0218SD,1,275,463.3,order,206
172,QKQ-0218S,1,2284,395,order,603
173,NHQL-0218S,1,418,464,order,520
174,NHQL-0218S,1,577,38,order,250
175,NHQL-0225S,1,460,373,order,287
176,NHQL-0215S,1,488,118,order,219
177,HT9-0218S,1,1012,58,order,469
178,HT9-0218S,1,2028,58,order,469
179,XXB-0218SD,1,718,58,order,449
180,NHJB-0218S,1,1417,58,order,561
181,YW10-0218S,1,248,327,order,205
182,NHQL-0218S,1,1498,58,order,574
183,YW10-0218S,1,260,378,order,423
184,QKQ-0215S,1,288,118,order,574
185,HT9-0218S,1,448,580,order,469
