Time_start,Day_start,Time_flight,Time_duty,Time_end,Flight_num,DptrStn_duty,ArrvStn_duty,node_1,node_2,node_3,node_4,node_5,node_6,EmpNo
0.00347222222222222,8/1/2019,354.999999983702,720,0.503472222222222,"FB8559,FB1000,FB293,FB294,FB21",241,241,1,3,10,85,157,,1
0.538194444444444,8/1/2019,294.999999987194,564.999999997672,0.930555555555555,"FB545,FB548,FB549,FB552,FB416",241,242,215,262,319,380,443,,1
0.256944444444444,8/2/2019,294.999999997672,720,0.756944444444445,"FB89,FB1748,FB30,FB35",242,241,457,630,720,773,,,1
0.791666666666667,8/2/2019,79.9999999988358,200.000000002328,0.930555555555555,"FB38,FB99",241,241,842,893,,,,,1
0.00347222222222222,8/3/2019,354.999999983702,720,0.503472222222222,"FB8559,FB1000,FB293,FB294,FB21",241,241,903,905,912,987,1059,,1
0.541666666666667,8/3/2019,259.999999998836,465.000000006985,0.864583333333333,"FB26,FB681,FB682,FB699",241,266,1120,1165,1228,1294,,,1
0.319444444444444,8/4/2019,395.000000009313,685.000000001164,0.795138888888889,"FB692,FB793,FB796,FB645,FB648",266,242,1397,1479,1555,1610,1684,,1
0.829861111111111,8/4/2019,55.0000000011642,55.0000000011642,0.868055555555555,"FB321",242,255,1765,,,,,,1
0.298611111111111,8/6/2019,414.999999990687,709.999999998836,0.791666666666667,"FB312,FB747,FB748,FB253,FB258,FB557",255,275,2265,2327,2384,2447,2510,2585,1
0.822916666666667,8/6/2019,159.999999997672,349.999999998836,0.0659722222222222,"FB558,FB999",275,244,2653,2687,,,,,1
0.149305555555556,8/7/2019,244.999999991851,525.000000003492,0.513888888888889,"FB1000,FB293,FB294,FB693",244,266,2690,2697,2771,2832,,,1
0.736111111111111,8/7/2019,94.9999999953434,235.000000001164,0.899305555555555,"FB700,FB79",266,251,3032,3106,,,,,1
0.3125,8/8/2019,380.000000002328,654.999999997672,0.767361111111111,"FB50,FB247,FB252,FB681,FB682",251,242,3177,3258,3341,3403,3468,,1
0.798611111111111,8/8/2019,95.0000000058208,95.0000000058208,0.864583333333333,"FB699",242,266,3536,,,,,,1
0.319444444444444,8/9/2019,270,505.000000001164,0.670138888888889,"FB692,FB793,FB796,FB385",266,249,3645,3728,3804,3860,,,1
0.850694444444445,8/9/2019,159.999999997672,309.999999994179,0.0659722222222222,"FB390,FB999",249,244,4036,4055,,,,,1
0.149305555555556,8/11/2019,244.999999991851,525.000000003492,0.513888888888889,"FB1000,FB293,FB294,FB693",244,266,4514,4519,4596,4657,,,1
